"time","temp","feels","wind","gust","rain","humidity","cloud","pressure","vis","date"
"00:00","11 °c","11 °c","9 km/h from S","19 km/h","0.0 mm","79%","13%","1020 mb",Excellent,"2018-09-01"
"03:00","13 °c","12 °c","11 km/h from SSW","19 km/h","0.0 mm","76%","96%","1020 mb",Excellent,"2018-09-01"
"06:00","14 °c","13 °c","11 km/h from SSW","19 km/h","0.0 mm","84%","100%","1020 mb",Excellent,"2018-09-01"
"09:00","14 °c","13 °c","14 km/h from SSW","23 km/h","0.1 mm","88%","78%","1021 mb",Excellent,"2018-09-01"
"12:00","16 °c","16 °c","15 km/h from SSW","22 km/h","0.0 mm","87%","87%","1021 mb",Excellent,"2018-09-01"
"15:00","17 °c","17 °c","14 km/h from SW","21 km/h","0.0 mm","83%","97%","1021 mb",Excellent,"2018-09-01"
"18:00","16 °c","16 °c","12 km/h from SW","19 km/h","0.0 mm","88%","98%","1022 mb",Excellent,"2018-09-01"
"21:00","14 °c","14 °c","11 km/h from SSW","19 km/h","0.0 mm","94%","52%","1022 mb",Excellent,"2018-09-01"
"00:00","13 °c","13 °c","10 km/h from SSW","19 km/h","0.0 mm","95%","31%","1022 mb",Poor,"2018-09-02"
"03:00","13 °c","13 °c","8 km/h from SSW","15 km/h","0.0 mm","96%","52%","1020 mb",Poor,"2018-09-02"
"06:00","14 °c","15 °c","5 km/h from SE","9 km/h","0.0 mm","95%","67%","1020 mb",Poor,"2018-09-02"
"09:00","19 °c","19 °c","18 km/h from SSW","28 km/h","0.0 mm","82%","80%","1020 mb",Excellent,"2018-09-02"
"12:00","20 °c","20 °c","21 km/h from SSW","30 km/h","0.0 mm","78%","93%","1019 mb",Excellent,"2018-09-02"
"15:00","19 °c","19 °c","19 km/h from SSW","30 km/h","0.1 mm","82%","90%","1019 mb",Excellent,"2018-09-02"
"18:00","18 °c","18 °c","12 km/h from SW","20 km/h","0.0 mm","84%","70%","1019 mb",Excellent,"2018-09-02"
"21:00","16 °c","16 °c","10 km/h from SSW","17 km/h","0.3 mm","91%","82%","1020 mb",Poor,"2018-09-02"
"00:00","15 °c","14 °c","12 km/h from WSW","20 km/h","0.0 mm","95%","62%","1021 mb",Poor,"2018-09-03"
"03:00","12 °c","11 °c","12 km/h from WSW","20 km/h","0.1 mm","95%","59%","1021 mb",Poor,"2018-09-03"
"06:00","11 °c","12 °c","2 km/h from W","3 km/h","0.0 mm","93%","86%","1023 mb",Excellent,"2018-09-03"
"09:00","12 °c","11 °c","10 km/h from NE","15 km/h","0.2 mm","90%","96%","1024 mb",Poor,"2018-09-03"
"12:00","11 °c","11 °c","9 km/h from ENE","14 km/h","0.0 mm","85%","95%","1024 mb",Excellent,"2018-09-03"
"15:00","13 °c","13 °c","10 km/h from ENE","11 km/h","0.0 mm","74%","69%","1024 mb",Excellent,"2018-09-03"
"18:00","12 °c","11 °c","9 km/h from E","12 km/h","0.0 mm","81%","62%","1024 mb",Excellent,"2018-09-03"
"21:00","9 °c","9 °c","5 km/h from NE","10 km/h","0.0 mm","88%","37%","1025 mb",Excellent,"2018-09-03"
"00:00","8 °c","10 °c","5 km/h from NNE","7 km/h","0.0 mm","90%","0%","1025 mb",Excellent,"2018-09-04"
"03:00","7 °c","9 °c","6 km/h from NNW","9 km/h","0.0 mm","91%","3%","1025 mb",Excellent,"2018-09-04"
"06:00","7 °c","12 °c","4 km/h from NW","5 km/h","0.0 mm","90%","2%","1025 mb",Excellent,"2018-09-04"
"09:00","12 °c","15 °c","7 km/h from NNW","8 km/h","0.0 mm","69%","1%","1025 mb",Excellent,"2018-09-04"
"12:00","15 °c","18 °c","7 km/h from NNE","8 km/h","0.0 mm","56%","1%","1024 mb",Excellent,"2018-09-04"
"15:00","16 °c","18 °c","5 km/h from NNW","5 km/h","0.0 mm","58%","4%","1023 mb",Excellent,"2018-09-04"
"18:00","14 °c","14 °c","1 km/h from WSW","1 km/h","0.0 mm","70%","34%","1024 mb",Excellent,"2018-09-04"
"21:00","11 °c","11 °c","5 km/h from SSW","11 km/h","0.0 mm","77%","9%","1024 mb",Excellent,"2018-09-04"
"00:00","9 °c","10 °c","6 km/h from WSW","11 km/h","0.0 mm","86%","2%","1024 mb",Excellent,"2018-09-05"
"03:00","8 °c","9 °c","6 km/h from WSW","11 km/h","0.0 mm","91%","3%","1024 mb",Excellent,"2018-09-05"
"06:00","8 °c","8 °c","7 km/h from WSW","12 km/h","0.0 mm","92%","18%","1024 mb",Excellent,"2018-09-05"
"09:00","13 °c","14 °c","8 km/h from WSW","9 km/h","0.0 mm","74%","4%","1024 mb",Excellent,"2018-09-05"
"12:00","17 °c","17 °c","8 km/h from WSW","9 km/h","0.0 mm","61%","15%","1022 mb",Excellent,"2018-09-05"
"15:00","18 °c","18 °c","11 km/h from SW","13 km/h","0.0 mm","61%","32%","1021 mb",Excellent,"2018-09-05"
"18:00","14 °c","13 °c","14 km/h from WSW","23 km/h","0.0 mm","81%","82%","1019 mb",Excellent,"2018-09-05"
"21:00","13 °c","12 °c","15 km/h from WSW","25 km/h","0.4 mm","92%","62%","1019 mb",Good,"2018-09-05"
"00:00","10 °c","8 °c","15 km/h from WSW","27 km/h","0.0 mm","93%","16%","1018 mb",Excellent,"2018-09-06"
"03:00","8 °c","5 °c","13 km/h from W","24 km/h","0.0 mm","92%","6%","1018 mb",Excellent,"2018-09-06"
"06:00","7 °c","7 °c","8 km/h from W","13 km/h","0.0 mm","92%","10%","1017 mb",Excellent,"2018-09-06"
"09:00","11 °c","10 °c","11 km/h from W","13 km/h","0.0 mm","73%","35%","1016 mb",Excellent,"2018-09-06"
"12:00","13 °c","13 °c","10 km/h from NW","12 km/h","0.0 mm","61%","31%","1015 mb",Excellent,"2018-09-06"
"15:00","13 °c","12 °c","11 km/h from NW","16 km/h","1.6 mm","67%","44%","1015 mb",Excellent,"2018-09-06"
"18:00","10 °c","10 °c","7 km/h from NW","12 km/h","0.0 mm","77%","79%","1014 mb",Excellent,"2018-09-06"
"21:00","8 °c","6 °c","10 km/h from WNW","19 km/h","0.0 mm","85%","26%","1014 mb",Excellent,"2018-09-06"
"00:00","7 °c","4 °c","13 km/h from W","26 km/h","0.0 mm","89%","26%","1012 mb",Excellent,"2018-09-07"
"03:00","7 °c","4 °c","16 km/h from W","29 km/h","0.0 mm","89%","78%","1012 mb",Excellent,"2018-09-07"
"06:00","9 °c","6 °c","14 km/h from WNW","23 km/h","0.0 mm","92%","100%","1011 mb",Excellent,"2018-09-07"
"09:00","12 °c","10 °c","13 km/h from NW","19 km/h","0.0 mm","83%","83%","1012 mb",Excellent,"2018-09-07"
"12:00","15 °c","15 °c","14 km/h from WNW","18 km/h","0.0 mm","67%","79%","1012 mb",Excellent,"2018-09-07"
"15:00","16 °c","16 °c","18 km/h from WNW","23 km/h","0.2 mm","64%","61%","1012 mb",Excellent,"2018-09-07"
"18:00","13 °c","12 °c","17 km/h from W","28 km/h","0.0 mm","76%","50%","1012 mb",Excellent,"2018-09-07"
"21:00","11 °c","8 °c","19 km/h from WSW","33 km/h","0.0 mm","89%","8%","1013 mb",Excellent,"2018-09-07"
"00:00","9 °c","6 °c","19 km/h from WSW","33 km/h","0.0 mm","93%","21%","1013 mb",Excellent,"2018-09-08"
"03:00","8 °c","5 °c","18 km/h from WSW","32 km/h","0.0 mm","92%","21%","1012 mb",Excellent,"2018-09-08"
"06:00","8 °c","6 °c","10 km/h from WSW","18 km/h","0.0 mm","94%","37%","1011 mb",Excellent,"2018-09-08"
"09:00","13 °c","12 °c","10 km/h from WSW","12 km/h","0.0 mm","81%","60%","1011 mb",Excellent,"2018-09-08"
"12:00","15 °c","15 °c","11 km/h from WSW","14 km/h","0.0 mm","79%","70%","1010 mb",Excellent,"2018-09-08"
"15:00","16 °c","16 °c","19 km/h from WSW","23 km/h","0.0 mm","76%","57%","1011 mb",Excellent,"2018-09-08"
"18:00","14 °c","12 °c","16 km/h from WSW","28 km/h","0.0 mm","81%","3%","1011 mb",Excellent,"2018-09-08"
"21:00","11 °c","10 °c","13 km/h from SW","26 km/h","0.0 mm","89%","28%","1011 mb",Excellent,"2018-09-08"
"00:00","12 °c","12 °c","8 km/h from S","14 km/h","0.0 mm","90%","95%","1009 mb",Excellent,"2018-09-09"
"03:00","13 °c","13 °c","11 km/h from S","19 km/h","0.2 mm","93%","89%","1007 mb",Poor,"2018-09-09"
"06:00","14 °c","13 °c","17 km/h from SSW","27 km/h","0.0 mm","92%","94%","1006 mb",Excellent,"2018-09-09"
"09:00","15 °c","13 °c","27 km/h from WSW","38 km/h","0.2 mm","84%","82%","1007 mb",Excellent,"2018-09-09"
"12:00","15 °c","15 °c","30 km/h from WSW","37 km/h","0.0 mm","74%","54%","1008 mb",Excellent,"2018-09-09"
"15:00","15 °c","15 °c","34 km/h from WSW","44 km/h","0.2 mm","61%","25%","1009 mb",Excellent,"2018-09-09"
"18:00","12 °c","10 °c","18 km/h from WSW","30 km/h","0.0 mm","72%","24%","1010 mb",Excellent,"2018-09-09"
"21:00","11 °c","8 °c","25 km/h from SW","43 km/h","0.0 mm","78%","39%","1011 mb",Excellent,"2018-09-09"
"00:00","11 °c","8 °c","33 km/h from SW","53 km/h","0.0 mm","76%","67%","1010 mb",Excellent,"2018-09-10"
"03:00","12 °c","9 °c","36 km/h from WSW","53 km/h","0.0 mm","76%","94%","1011 mb",Excellent,"2018-09-10"
